ID,Name,City,State,Rating (YP),Count (YP),Rating (TA),Count (TA),Amenity_Family,Amenity_Alcohol,Amenity_Outdoor,Amenity_Wifi,Amenity_Group,Amenity_Reservation,Amenity_Wheelchair,Years,Address,Website
562544920,Jbs Wing Master Inc,Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,3014 Allison Bonnett Memorial Dr,N/A
559724817,Cook Sheila,Mulga,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,1321 Slope Dr,https://designs.com
533303022,D's Tamales to Go,Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,268 Forest Rd,N/A
505791242,Neighborhood Diner,Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,1122 28th St N,N/A
515720557,D's Tamales Togo,Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,17,258 Forest Rd,N/A
545588221,Cloray's Cafe,Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,YES,YES,NO,YES,NO,N/A,2530 9th Ave N,N/A
567897526,Mamma's Country Cooking,Hueytown,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,700 Brooklane Dr,N/A
572023529,Wing City-Grill & Seafood,Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,3094 Allison Bonnett Memorial Dr,N/A
475643531,Sylvan Springs Diner,Mulga,AL,N/A,N/A,N/A,N/A,NO,NO,NO,YES,NO,NO,NO,N/A,5036 Birmingport Rd,http://www.sylvanspringschurchofchrist.com
481576206,The Bright Star,Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,304 19th St S,http://www.thebrightstar.com
551017218,The Back Porch,Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,1924 1st Ave N,N/A
535643033,J Wings,Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,101 19th St N,N/A
545243937,Chef Julia May' s,Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,1901 2nd Ave N,N/A
559078874,Exotic Grill,Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,216 19th St N,N/A
709989,Sneaky Pete's Hot Dogs,Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,524 19th St N,N/A
572034955,Best Kept Secrets,Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,1723 3rd Ave N,N/A
563183048,Cinco De Mayo,Hueytown,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,1408 Hueytown Rd,N/A
534123128,Great Treats,Hueytown,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,1349 Hueytown Rd,N/A
454104541,"Vera House, Inc",Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,15,1618 8th Ave N,http://www.verahouse.org
553242609,State Fair Coney Island 2 (Bessemer),Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,714 14th St N,N/A
562117262,DatBurgaPlase,Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,1400 9th Ave N,N/A
